Tourist_Spot,Address,Zipcode,location,latitude,longitude
Old Quaker Meeting House,137-16 Northern Boulevard Queens,11354,"Flushing Quaker Meeting House, 137-16, Northern Boulevard, 11354, Northern Boulevard, Flushing, NY, United States",40.7630044,-73.83033519650238
Weeksville Heritage Center,158 Buffalo Ave Brooklyn,11213,"Weeksville Heritage Center, 158, Buffalo Avenue, 11233, Buffalo Avenue, Brooklyn, NY, United States",40.6742273,-73.92523350052946
The Sightseeing Pass,777 Eighth Avenue Manhattan,10036,"111 Eighth Avenue, West 16th Street, 10011, West 16th Street, New York, NY, United States",40.7413853,-74.0032719036205
Hudson Yards New York,New York,10001,"New York, New York, United States",40.7127281,-74.0060152
General Grant National Memorial,Riverside Dr and 122nd St Manhattan,10027,"Soldiers' and Sailors' Monument, Riverside Drive, 10024, Riverside Drive, New York, New York, United States",40.792091049999996,-73.97892752347826
"Pier 25, Hudson River Park",225 st Street Manhattan,10013,"225 Liberty Street, 225, Liberty Street, 10281, Liberty Street, New York, NY, United States",40.712272049999996,-74.01543606304264
55 Central Park West,55 Central Park st New York,10023,"55, Central Park West, 10023, Central Park West, New York, NY, United States",40.77230885,-73.97909828720665
Sakura Park,122nd St and Riverside Dr Manhattan,10027,"Soldiers' and Sailors' Monument, Riverside Drive, 10024, Riverside Drive, New York, New York, United States",40.792091049999996,-73.97892752347826
LIC Flea & Food,5-25 46th Avenue Queens,11101,"5-25, 46th Avenue, 11101, 46th Avenue, Long Island City, NY, United States",40.74755035,-73.95408587539396
Grant's Tomb,Riverside Drive and st 122nd Street Manhattan,10027,"Riverside Drive & West 122nd Street, Riverside Drive, 10115, Riverside Drive, New York, New York, United States",40.812895,-73.9627159
Gravesend Cemetery,Ave V and Van Sicklen St Brooklyn,11223,"Van Siclen Avenue, Van Siclen Avenue, 11239, Van Siclen Avenue, New York, New York, United States",40.6780372,-73.8916769
Piers 92/94 New York,711 Twelfth Avenue Manhattan,10019,"McKinsey & Company - Service Center, 711, 3rd Avenue, 10017, 3rd Avenue, New York, NY, United States",40.7522951,-73.9729342
New York Marble Cemetery,41 1/2 Second Ave Manhattan,10003,"41, Greenwich Avenue, 10014, Greenwich Avenue, New York, New York, United States",40.7354055,-74.00070094023191
